judul,isi_laporan,info,link
Saran Terkait Cara Untuk Mendorong Minat Kaum Muda Masuk Ke Sektor Pertanian,"Mantap, seperti itulah sebaran petani di Sumedang berdasarkan usia, tinggal bagaimana caranya agar dapat mendorong minat kaum muda dapat turun ke sektor pertanian sebagai pelaku usaha sekaligus pekerja, mudah mudahan dapat solusi yang terbaik untuk kemajuan sektor pertanian di Kabupaten Sumedang. Tetap Semangat",,https://www.lapor.go.id/laporan/detil/saran-terkait-cara-untuk-mendorong-minat-kaum-muda-masuk-ke-sektor-pertanian-202512312131341767191494074
Pembuatan NIB,"Apakah pembuatan Izin Mendirikan Bangunan (IMB) bisa dibuat di Kantor Kecamatan ?, kalau bisa persyaratannya apa saja?",,https://www.lapor.go.id/laporan/detil/pembuatan-nib-202512221249011766382541168
Permohonan Dokumen KK,Menanyakan Dokumen KK atas Nama Iroh Sudah selesai apa belum,,https://www.lapor.go.id/laporan/detil/permohonan-dokumen-kk-202601192023191768828999415
LAPORAN WA KEPO SUMEDANG TERKAIT KESEJATERAAN SOSIAL MASYARAKAT DUSUN LEBAKKASO DESA CIKAHURIPAN,Asalamualaikum nama : maman/ RudiAlamat dsn ci jengkol sumedangUsia : 34 th HP : 081320952401Isi pengaduan :Abdi gaduh wargi nu linggih di kp lebakkaso rt 02 rw 03 desa ci Kahuripan Kec cimanggung kab sumedang bade klarifikasi masalah pemerintahan desa naha teu aya kabijakan dugi ka keluarga seolah di hare harekeun di segala bidang dugi ka situasi ayeuna termasuk bantuan rutilahu dugi ka rumahnya dk runtuh nu gaduh bumi dugi ka di ungsikeun ka putra na tos tilu tahun bari jeung eta nu gaduh bumi atas nami ibu ocih tos teu ningal ngagaduhan panyawat katarak atuh anu ka cicingan atas nami ibu iah ayeuna teu damang ngagaduhan panyawat batu empedu nembe beres di oprasi di RSUD hermina bandung nmbe beres,,https://www.lapor.go.id/laporan/detil/laporan-wa-kepo-sumedang-terkait-kesejateraan-sosial-masyarakat-dusun-lebakkaso-desa-cikahuripan-202603040951181772592678327
Rumpun bambu menimpa jalan,Telah terjadi rumpun bambu menimpa jalan provinsi subang - sumedang di dusun cikondang desa sukamaju pada hari kemarin akibat curah hujan yang tinggi,,https://www.lapor.go.id/laporan/detil/rumpun-bambu-menimpa-jalan-202601241142271769229747833
longsor,"Terjadi longsor di wilayah dusun Rancakalong rt 03 rw 08 depan rumah Bpk. Nedi Herisetiawan. Pada hari kamis, 30 April 2026 sore hari.Tidak ada korban jiwa.",,https://www.lapor.go.id/laporan/detil/longsor-202605040839281777858769000
"Tidak diterangkan diagnosa di awal sampai perawatan diakhir di Ruang NICU, tidak ada penjelasan diagnosa. Meminta penjelasan diagnosa dari awal sampai pasien dirujuk ke Ruang PICU.","Pasien masuk IGD tanggal 26 September 2025, pasien pecah ketuban dengan kehamilan 8 minggu, diberi obat agar tidak mulas-mulas pukul 04.30 masuk Ruang VK lahir normal lalu bayi masuk ruang melati. Tanggal 29 September 2025 pasien diijinkan pulang beserta bayinya oleh dokter. Pada tanggal yang sama 29 September 2029 pukul 19.00 pasien bayi dibawa ke IGD dengan keluhan bayi tidak mau menyusu dan tidak menangis. Tanggal 30 September 2025 pukul 09.00 pasien bayi dipindahkan ke Ruang NICU lalu pukul 17.30 dipindahkan ke Ruang PICU perawat mengabarkan kepada orang tua bayi. Orang tua bayi menanyakan hasil rontgen, perawat mengabarkan hasil rontgen belum keluar dan tidak ada penjelasan dari pihak Ruang PICU dan NICU. Bayi dinyatakan meninggal pada tanggal 30 September pukul 21.55. Pasien menbawa jenazah bayi tidak memakai ambulance memakai mobil pribadi.Pengaduan keluraga pasien :Menanyakan kenapa bayi saya dipulangkan pada hari senin 29 September 2025. ketika memang ada kendala pada hari yang sama dan saya tidak mendapat penjelasan ketika bayi saya meninggal pada hari selasa 30 September 2025, hasil rontgen pun tidak diketahui.",,https://www.lapor.go.id/laporan/detil/tidak-diterangkan-diagnosa-di-awal-sampai-perawatan-diakhir-di-ruang-nicu-tidak-ada-penjelasan-diagnosa-meminta-penjelasan-diagnosa-dari-awal-sampai-pasien-dirujuk-ke-ruang-picu--202601131012021768273922672
Mekanisme pemberian bantuan benih ikan,Maaf kalau boleh tau untuk dapat bantuan benih ikan nila nirwana ini harus gimana ya?,,https://www.lapor.go.id/laporan/detil/mekanisme-pemberian-bantuan-benih-ikan-202601020932441767321164651
Informasi Layanan Kesehatan Hewan,Assalamu'alaikum mau tanya kalo untuk pengobatan anjing yang sakit gak mau makan kaya dehidrasi kena biaya berapa ya,,https://www.lapor.go.id/laporan/detil/informasi-layanan-kesehatan-hewan-202604061409151775459355663
Konsultasi Pencairan Honor Bagi Pegawai di Kecamatan,"Assalamualaikum selamat pagi saya mau menanyakan perihal honor sumedang selatan belum juga cair, waktu senin saya mengantarkan pengajuan ke satpam, tolong secepatnya proses.",,https://www.lapor.go.id/laporan/detil/konsultasi-pencairan-honor-bagi-pegawai-di-kecamatan-202601280842071769564527585
longsor,Telah terjadi longsor pad tanggal 29/03/26 malam hari menimpa rumah warga di dusun Legok Picung Ds. Pamekaran. Korban seorang lansia mengalami luka ringan.,,https://www.lapor.go.id/laporan/detil/longsor-202603300849431774835383424
Saran untuk mendorong generasi muda agar masuk ke sektor pertanian,Penerapan bertahap Revolusi pertanian 4.0 yaituDigital farmingSmart livestockPrecision agricultureE-commerce agribisnisYang lebih cepat diadopsi oleh generasi muda.,,https://www.lapor.go.id/laporan/detil/saran-untuk-mendorong-generasi-muda-agar-masuk-ke-sektor-pertanian-202512312239241767195564280
Biaya Pelayanan Kesehatan Hewan,"Assalamualaikum maaf boleh nanya, klo biaya untuk steril kucing jantan brp ya?",,https://www.lapor.go.id/laporan/detil/biaya-pelayanan-kesehatan-hewan-202601020951441767322304417
lansia terlantar,Seorang tiktoker melaporkan ada lansia yang terlantar di pinggir jalan sekitar kecamatan rancakalong.,,https://www.lapor.go.id/laporan/detil/lansia-terlantar-202602090834421770600882358
Pengajuan kelompok ternak,Mau pengajuan peternakan gimana caranya,,https://www.lapor.go.id/laporan/detil/pengajuan-kelompok-ternak-202604061128491775449729830
longsor,"Longsor menimpa halaman rumah Ibu Esih sekira pukul 24:00 pada hari senin 04/05/2026,Di Dusun Sindang RT 01/02 Desa Rancakalong.",,https://www.lapor.go.id/laporan/detil/longsor-202605050904371777946677214
Koordinasi terkait Kepengurusan KDMP,"Koordinasi terkait Kepengurusan KDMP Ketua BPD Pasirbiru dengan Pa Sekcam ,pa kasi pemdes ,pa kasi Pemum dan Staf Pemdes",,https://www.lapor.go.id/laporan/detil/koordinasi-terkait-kepengurusan-kdmp-202602061109031770350943699
Rumah roboh,"Pada hari ini Minggu Tanggal 15 Februari 2026 pukul 13.00 wib bertempat di Dsn. Bakan jambe Rt 02/02 Ds. Cibungur Kec. Rancakalong, Kasi Trantibum Babinkamtibmas dan Babinsa Ds. Cibungurtelah mendatangi TKP terjadi Rumah Ukuran P: 7M, L:5 M, T:2,5M Roboh yang diakibatkan oleh belum diperbaiki akibat bencana lini dan kondisi rumah sudah rapuh, akibat kejadian tersebut menimpa penghuni rumah An. Bapa Sarma, 78th, Islam, Tani, Alamat Dsn. Bakan Jambe 02/02 Ds.Cibungur Kec. Rancakalong ( Luka ringan dan menjalani Rontgent ke RSU Sumedang)dan An.Rendi, 11 Th, pelajar, Alamat Dsn. Bakan jambe Rt 02/02 Ds. Cibungur Kec. Rancakalong ( mengalami luka ringan ).",,https://www.lapor.go.id/laporan/detil/rumah-roboh-202602180827501771378070459
Pengaduan Pasien melalui Google Review dan WhatsApp Pengaduan Tgl 15 November 2025,"Nama Lengkap : Raka Eki Febrian Nomor Hp : 081214448325Pekerjaan : perawat Kelurahan/Desa : desa margamekar Kecamatan: Sumedang selatan Kabupaten/Kota : sumedangDetail pertanyaan lengkap :1.Pelayanan kinerja pekerja rumah sakit terhadap pasien2.Untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan?3.Kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd ? 4. Kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien ?55.Alasan di tolak icu karena penolakan tindakan operasi, tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu? Syarat masuk icu emang harus apa operasi saja?66.Jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak.67.Jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada68.Jangan suka memilah pasien karena bpjs nya dari pemerintah69.Tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaTerimakasihSaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang, percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan.Pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya.Terimakasih",,https://www.lapor.go.id/laporan/detil/pengaduan-pasien-melalui-google-review-dan-whatsapp-pengaduan-tgl-15-november-2025-202512220847341766368054121
Permintaan Bantuan Korban Longvsor,Telah Terjadi Longsor di Dusun Gombong RT 002 RW 004 Desa Sukamukti Kecamtan Tanjungmedar,,https://www.lapor.go.id/laporan/detil/permintaan-bantuan-korban-longvsor-202601192018371768828717327
Pembelian Bibit Ikan,Min minta info untuk mencari bibit ikan nila belanda sama gurame soang,,https://www.lapor.go.id/laporan/detil/pembelian-bibit-ikan-202601060902451767664965739
Obat pasien tertukar di Ruangan Anyelir,"Telah datang komplenan dari keluarga pasien tentang tertukar diagnosa/obat di ruang anyelir, pasien pulang pada hari senin kmrin tanggal 2 feb siang dengan identitas sebagai berikutPasien a.n Mumun alamat Cisarua (000140705) Perempuan tertukar dengan pasien a.n Yuyum Yumiati alamat link. Patung kotakaler (000140786) PerempuanLangsung datang ke ruangan perawat anyelir",,https://www.lapor.go.id/laporan/detil/obat-pasien-tertukar-di-ruangan-anyelir-202602101150331770699033176
Permintaan Informasi Terkait Surat Keterangan untuk magang,"Assalamu'alaikum Bapak/IbuSaya mau memastikan untuk berkas administrasi seperti surat pengantar kampus dan CV, apakah perlu saya antarkan jauh-jauh hari sebelum mulai magang, atau bisa diserahkan pada saat hari pertama magang nanti?Takutnya ada proses yang harus dilakukan lebih awal, jadi saya ingin memastikan supaya tidak mengganggu alur administrasinya. Terima kasih, Pak/Bu",,https://www.lapor.go.id/laporan/detil/permintaan-informasi-terkait-surat-keterangan-untuk-magang-202512312244521767195892830
Informasi Benih Ikan,Tumaros sakedik BBI pada Suka Ngical Larva teu?,,https://www.lapor.go.id/laporan/detil/informasi-benih-ikan-202604061358241775458704240
Aduan Masyarakat Terkait Infrastruktur Permukiman,"Yth. dinas perumahan, kawasan permukiman, dan pertanahan (perkimtan) kabupaten sumedang

sehubungan dengan adanya laporan masyarakat terkait kondisi lapangan di perumahan ikopin, bersama ini kami sampaikan bahwa dinas pupr telah menerima pengaduan dimaksud.
https://www.instagram.com/reel/dsubhincwr-/?utm_source=ig_web_copy_link&igsh=mzrlodbinwflza==

berdasarkan hasil identifikasi awal, penanganan lapangan tersebut merupakan kewenangan dinas perumahan, kawasan permukiman, dan pertanahan (perkimtan). oleh karena itu, sesuai arahan pimpinan, kami perlu menyampaikan laporan ini secara langsung kepada instansi yang memiliki kewenangan agar dapat ditindaklanjuti sesuai ketentuan yang berlaku.

demikian laporan singkat ini kami sampaikan sebagai bahan koordinasi dan tindak lanjut. atas perhatian dan kerja samanya diucapkan terima kasih.","  KAMIS, 2026/01/29 |   PERMUKIMAN |   LAPORAN 7 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/aduan-masyarakat-terkait-infrastruktur-permukiman-202601291145441769661944143
Informasi Bantuan Perikanan dan Peternakan,Mau tanya ada program bantuan dari bidang peternak perikanan???,,https://www.lapor.go.id/laporan/detil/informasi-bantuan-perikanan-dan-peternakan-202604061420321775460032603
TPT Dapur Rumah Ambruk akibat intensitas Hujan Lebat yg disertai Angin Kencang,"Pada hari Senin, 6 April 2026 Pukul 18.45 WIB cuaca EXTREME ( Hujan dengan Intensitas Tinggi) mengakibatkan TPT Rumah Bagian Dapur Ambruk a.n. Asep Lili Usia 60 Tahun, material longsoran menimpa rumah an Darya usia 83 tahun",,https://www.lapor.go.id/laporan/detil/tpt-dapur-rumah-ambruk-akibat-intensitas-hujan-lebat-yg-disertai-angin-kencang-202604090854091775699649918
Permintaan Informasi Terkait Sekolah Pertanian di Sumedang,Ada berapa Sekolah/Pendidikan Jurusan Pertanian di Sumedang ?,,https://www.lapor.go.id/laporan/detil/permintaan-informasi-terkait-sekolah-pertanian-di-sumedang-202512312124441767191084241
Informasi Perihal Penyuluhan dan Bantuan Benih Ikan,"Admin mau tanya untuk mendapatkan penyuluhan dan bibit gratis, itu bagaimana. Kebetulan kita kelompok tani di desa situmekar, kecamatan cisitu. Mohon info terima kasih",,https://www.lapor.go.id/laporan/detil/informasi-perihal-penyuluhan-dan-bantuan-benih-ikan-202604061350481775458248957
Informasi Layanan Kesehatan Hewan,"Permisi pa/bu, saya mau tanya jam buka untuk pemeriksaan hewan jam berapa ya?",,https://www.lapor.go.id/laporan/detil/informasi-layanan-kesehatan-hewan-202604061412301775459550002
Tidak adanya dokter pengganti saat dokter spesialis cuti 14 hari kerja,"Kronologi kejadian :- Tanggal 9 Desember 2025 pukul 11.00 WIB pasien datang ke IGD membawa hasil rontgen dari RS Pakuwon. Alasan pindah dari RS Pakuwon ke RSUD Sumedang karena dr. Orthopedi di RS Pakuwon tidak ada- Sebelumnya pasien pernah dibawa ke ahli tulang, tidak dilakukan tindakan apa-apa oleh ahli tulang hanya dioles minyak dan dibungkus plastik wrap - Kondisi dari hasil rontgen tangan patah- Ada dokter laki-laki yang jaga pagi di IGD sangat tidak humanis berkata yang menyakiti hati pasien dan keluarga pasien tidak ada kode etik Ari geus dibawa ka dokter kampung, geus buruk karek dibawa kadieu- Kondisi pasien ada luka dalam kenapa tidak direkomendasikan dulu ke dokter bedah, ada pembiaran merujuk ke mal praktek- Pasien datang ke IGD dengan jaminan BPJS. Keluarga pasien meminta di rujuk ke RS di Bandung, ditolak IGD tidak diberi rujukan. Lalu keluarga pasien meminta pasien dirujuk ke RS Al-Islam sebagai pasien umum disurat rujukan hanya tertulis : pasien jatuh, sudah berobat ke dokter kampung tidak ada catatan dr. Spesialis Orthopedi cuti. Rujukan tidak diterima oleh RS Al-Islam disuruh pulang rujukan tidak jelas- Keluarga pasien diarahkan untuk berobat ke Poli Orthopedi pada tanggal 15 Desember 2025, dr. Spesialis Ortopedi masih cuti sampai tanggal 19 Desember 2025- Pasien berobat ke Poli Orthopedi tanpa diberi obat, keluarga pasien yang meminta obat kepada dokter yang periksa. Pasien di rujuk ke RS Al-Islam- Di RS Bandung bertanya kenapa baru dirujuk sekarang, jadi ga mau ambil resiko ambil tindakanPengaduan keluraga pasien :1.Indikasi ada pelanggaran secara administrasi terkait SOP kalau ada dokter spesialis cuti lebih dari 3 hari, harus ada dokter pengganti, ini cuti 15 hari kerja tidak ada dokter pengganti2.Pelayanan IGD tidak humanis, ada kata-kata yang tidak enak dari dokter jaga iGD yang dinas pagi3.Punten kaji lagi untuk diagnosanya seandainya masih bisa ditangani di RSUD Sumedang lebih baik, jangan sampai RS yang lain jadi ada masalah kedepannya",,https://www.lapor.go.id/laporan/detil/tidak-adanya-dokter-pengganti-saat-dokter-spesialis-cuti-14-hari-kerja-202601210924111768962251165
Tentang Penerbittan Nuptk,"Siang min, izin melapor terkait nuptk yang saya sudah di setuji oleh dinas tinggal nunggu di approve oleh yayasan jadi belum bisa terbit nuptknya itu bagaimana ya
npyp : ax8403
nama yayasan : cahaya bakti adinda
kabupaten sumedang","  SENIN, 2026/01/12 |   PAUD DAN PENDIDIKAN INFORMAL |   LAPORAN 4 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/tentang-penerbittan-nuptk-202601121518191768205899746
Bayar Parkir Di Pinggir Jalan Kota Sumedang Tidak Berkarcis,"Hampir di sepanjang pinggir jalan kota sumedang, kendaraan bermotor yang parkir meski sekedar untuk berbelanja di warung sebentar dimintai uang parkir oleh petugas berseragam parkir. namun saya tidak pernah mendapatkan tanda pembayaran parkir (karcis) dari petugas tersebut.
1. apakah petugas-petugas parkir tersebut legal?
2. jika legal kenapa setelah saya membayar pakir tidak diberi karcis parkir?
3. jika petugas tersebut ilegal, mohon untuk ditertibkan oleh instansi terkait sehingga kota sumedang bisa bebas dari petugas-petugas parkir liar
4. apakah parkir berlanggaran masih berlaku dan bisa diperpanjang di tahun ini?
5. untuk mencegah parkir liar, parkir berlangganan bisa menjadi salah satu solusi namun kekurangannya parkir berlangganan hanya berlaku di area parkir tertentu, sehingga masih membuka celah untuk adanya petugas2 parkir liar, untuk itu apakah bisa parkir berlangganan itu diberlakukan untuk seluruh area pinggir jalan di kabupaten sumedang, kecuali untuk tempat2 tertentu yg melakukan pengelolaan parkir mandiri dan setor ke pemda?
saya sebagai warga sangat tidak berkeberatan untuk membayar retribusi parkir asalkan itu legal dan benar2 masuk ke kas daerah, namun saya sangat keberatan jika apa yang saya berikan hanya untuk kepentingan individu atau kelompok tertentu.","  SENIN, 2026/04/06 |   PARKIR LIAR |   LAPORAN 6 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/bayar-parkir-di-pinggir-jalan-kota-sumedang-tidak-berkarcis-202604061144381775450678085
Informasi Bibit Ayam,Assalamualaikum. Izin bertanya. Apakah di dinas perikanan dan peternakan sumedang ada bibit ayam KUB 2?,,https://www.lapor.go.id/laporan/detil/informasi-bibit-ayam-202601131037431768275463948
Informasi Bantuan Perikanan,Info bantuan dana perikanan,,https://www.lapor.go.id/laporan/detil/informasi-bantuan-perikanan-202604061402041775458924272
Trotoar Rusak,"Trotoar rusak membahayakan pejalan kaki, berpotensi masuk gorong-gorong jl. raya cirebon - bandung , hegarmanah, kec. jatinangor, kabupaten sumedang, jawa barat 45363","  KAMIS, 2026/03/05 |   INFRASTRUKTUR PENDUKUNG |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/trotoar-rusak-202603051012521772680372158
tpt ambruk,Encana TPT rumah sepanjang 10 meter tinggi 4 meter menimpa rumah Edo umur 70 tahun TPT yang longsor atas nama Ajat umur 75 tahun alamat dusun Cimacan RT 12 RW 03 desa kec rancakalong tidak ada korban jiwa kronologi kejadian akibat hujan besar TPT tidak bisa menahan beban karena kondinya sudah lapuk.,,https://www.lapor.go.id/laporan/detil/tpt-ambruk-202604060832351775439155792
Jam Kerja Dinas Perikanan dan Peternakan,Min kalo hari ini libur ga dinas peternakan?,,https://www.lapor.go.id/laporan/detil/jam-kerja-dinas-perikanan-dan-peternakan-202601021053491767326029058
Permintaan Publikasi Data Terkait Pertanian di Kabupaten Sumedang,Datanya mohon di publish pak di website Terkait Pertanian di Kabupaten Sumedang,,https://www.lapor.go.id/laporan/detil/permintaan-publikasi-data-terkait-pertanian-di-kabupaten-sumedang-202512312135281767191728175
Pembelian Bibit Ikan,Dipalih dieu icalan bibit lauk?,,https://www.lapor.go.id/laporan/detil/pembelian-bibit-ikan-202604061123521775449432168
Nomor Induk Berusaha,"Saya merasa kesulitan ketika akan membuat NIB , mohon bantuan arahannya yang jelasnya seperti apa dan harus kemana membuat nya ?",  PELAYANAN PEMERINTAHAN |   LAPORAN 7 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/nomor-induk-berusaha-202509301738121759228692364
Informasi Layanan Kesehatan Hewan,Maaf mau tanya biaya pengobatan hewan,,https://www.lapor.go.id/laporan/detil/informasi-layanan-kesehatan-hewan-202604061406161775459176153
Blt Kesra,Assalamualaikum bpk/ibu yang terhormat saya mau bertanya kapan yah blt kesra tahap selanjutnya dibagikan? saya mendapatkan bantuan tersebut namun status masih si katanya akan disalurkan secepatnya oleh pihak posnya,"  JUMAT, 2025/12/26 |   BANTUAN SOSIAL |   LAPORAN 6 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/blt-kesra-202512261220221766726422421
Pembelian Bibit Ikan,Untuk mencari bibit ini kalau mau beli kmn?,,https://www.lapor.go.id/laporan/detil/pembelian-bibit-ikan-202601060900231767664823906
Harga Pelayanan Kesehatan,Apkah gratis pelayanan kesehatan ternak,,https://www.lapor.go.id/laporan/detil/harga-pelayanan-kesehatan-202601131035261768275326692
